Epoch,Train Loss,Validation Loss
1,1.226457,1.144916
2,1.139684,1.124157
3,1.123124,1.099557
4,1.096157,1.066690
5,1.071838,1.048271
6,1.054745,1.034034
7,1.042910,1.020830
8,1.032806,1.013219
9,1.023969,1.004955
10,1.017093,0.997450
11,1.010520,0.993110
12,1.004433,0.987477
13,0.998919,0.983618
14,0.994930,0.980254
15,0.991161,0.976836
16,0.987033,0.974642
17,0.983461,0.970881
18,0.978978,0.968683
19,0.976307,0.966231
20,0.973368,0.964007
21,0.969679,0.962874
22,0.967604,0.960255
23,0.965097,0.959451
24,0.962509,0.957128
25,0.960125,0.955850
26,0.957262,0.954937
27,0.954857,0.953543
28,0.953517,0.952304
29,0.950494,0.951048
30,0.950125,0.950439
31,0.946641,0.949542
32,0.945394,0.948558
33,0.943182,0.948016
34,0.941319,0.947079
35,0.940279,0.946348
36,0.938794,0.945914
37,0.937327,0.945161
38,0.936188,0.944394
39,0.933525,0.944457
40,0.932707,0.943454
41,0.931604,0.942988
42,0.930019,0.942522
43,0.929428,0.941500
44,0.927315,0.941480
45,0.926341,0.940834
46,0.925346,0.940308
47,0.923693,0.940359
48,0.923040,0.939744
49,0.922382,0.939028
50,0.920733,0.938717
51,0.920517,0.938219
52,0.917891,0.938295
53,0.918822,0.937790
54,0.917304,0.937151
55,0.916565,0.937040
56,0.915702,0.936435
57,0.913898,0.936698
58,0.913278,0.936028
59,0.913157,0.935789
60,0.911455,0.935052
61,0.911789,0.934903
62,0.910610,0.934967
63,0.910149,0.934384
64,0.910143,0.934149
65,0.908199,0.934557
66,0.907666,0.933949
67,0.908160,0.933691
68,0.905594,0.933219
69,0.906139,0.932657
70,0.904438,0.932684
71,0.904695,0.932318
72,0.903551,0.931724
73,0.902794,0.931280
74,0.902742,0.931260
75,0.902060,0.931328
76,0.900489,0.930734
77,0.900883,0.930527
78,0.899721,0.930339
79,0.900670,0.930123
80,0.899626,0.930079
81,0.899427,0.929720
82,0.898746,0.929143
83,0.897961,0.929457
84,0.897474,0.928798
85,0.896867,0.928468
86,0.896100,0.928576
87,0.896481,0.928011
88,0.894967,0.927928
89,0.894710,0.927424
90,0.894794,0.927205
91,0.893548,0.927471
92,0.893543,0.926643
93,0.893475,0.926951
94,0.892134,0.926831
95,0.892951,0.926182
96,0.891856,0.927133
97,0.891070,0.926091
98,0.891590,0.925386
99,0.889514,0.926017
100,0.890391,0.925000
